     AGC/ObjID		  RA	    Dec     r        z     D[Mpc]    LogM*  LogMHI/M*  code (ALFALFA-only, noSDSS spec =1, SDSS-only=2, match=3)
              226117    0.0000    0.0000    NaN   0.0232   103.88      NaN      NaN    1
                7742  188.7117   15.5528  11.86   0.0043    16.70   9.7461  -1.3139    1
                7753  188.8582   14.4937  10.04   0.0016    15.00  10.7208  -2.0537    1
              226120    0.0000    0.0000    NaN   0.0141    62.56      NaN      NaN    1
              226121    0.0000    0.0000    NaN   0.0463   203.03      NaN      NaN    1
              220863  189.5668   14.8694  15.68   0.0025    16.70   8.0639  -0.1250    1
              226093  189.7190   14.4335  18.06   0.0464   203.38   8.8405   1.1864    1
              220938  190.5598   14.2049  16.64   0.0265   118.11   9.2992   0.3010    1
              226103    0.0000    0.0000  19.43   0.0274   121.82   8.4701   0.8146    1
              226109  194.5810   15.2117  17.62   0.0217    97.31   8.8989   0.2828    1
              233611  197.0838   14.6232  18.15   0.0341   150.08   8.9586   0.7447    1
              233612  197.6107   14.6006  19.97   0.0281   124.61   8.1607   1.2162    1
              233615  197.8563   15.5306  18.54   0.0116    52.08   7.7656   0.9949    1
              233617  198.1238   15.3213  18.62   0.0116    52.02   7.7704   0.8201    1
              233624  199.5835   13.9023  19.66   0.0287   127.09   7.8081   1.5654    1
              232584    0.0000    0.0000  15.36   0.0311   137.34  10.2638  -0.8372    1
              230239    0.0000    0.0000  15.36   0.0224    99.91   9.7827  -0.1096    1
                8383  200.1157   14.5336  13.84   0.0285   126.20  10.8958  -1.0420    1
              233629  200.6854   14.0804  18.11   0.0216    96.75   8.6667   0.5583    1
              233633  202.0563   16.0892  18.51   0.0147    65.25   8.1387   0.6192    1
              233638  202.8265   16.1673  17.16   0.0253   112.32   9.4218   0.0648    1
                8518  203.0578   13.8924  12.71   0.0255   113.21  11.3403  -1.0480    1
                8518  203.0582   13.8925  12.72   0.0255   113.28  11.3463  -1.0263    1
              233645    0.0000    0.0000  16.13   0.0258   114.24  10.0090  -0.2676    1
                8633  204.7230   14.7435  14.64   0.0236   104.84  10.4091  -0.5238    1
              233663  205.2817   15.3986  17.77   0.0219    97.45   8.6895   0.8009    1
              233768  205.3528   15.2749  18.26   0.0260   115.18   8.7235   0.5715    1
              233664  205.3420   14.9391  15.97   0.0215    96.04   9.5520  -0.0775    1
              233668  205.4668   14.8336  18.38   0.0213    95.15   8.4179   0.9837    1
              233677  205.6729   15.6083  16.26   0.0259   114.73   9.5350   0.1877    1
              238608    0.0000    0.0000  17.77   0.0369   161.91   9.3850   0.4672    1
              233745    0.0000    0.0000  16.55   0.0406   177.58   9.7929  -0.0074    1
              233687  207.4478   15.9559  17.96   0.0231   102.64   9.2686   0.1440    1
              231024  207.5117   15.9031  15.47   0.0225   100.21   9.9283  -0.1386    1
              233698    0.0000    0.0000  15.96   0.0405   177.18  10.0306  -0.0370    1
              174528  119.8425   14.1604  16.80   0.0157    69.04   8.6659   0.3675    1
              188737    0.0000    0.0000  17.35   0.0497   216.28   9.7901   0.1337    1
              181283  122.1105   12.3326  15.32   0.0335   147.01  10.3764  -0.6006    1
              188755    0.0000    0.0000  17.81   0.0349   152.91   9.2692   0.2650    1
              188821  124.8244   11.8864  18.74   0.0336   147.52   8.3915   1.0093    1
              188823    0.0000    0.0000  17.01   0.0432   188.56  10.0937  -0.2354    1
              188765    0.0000    0.0000  17.29   0.0321   141.27   9.5751   0.1191    1
              182477    0.0000    0.0000  17.97   0.0139    62.20   7.8979   1.0264    1
              188785    0.0000    0.0000  17.64   0.0298   131.73   8.7505   0.7069    1
              188812    0.0000    0.0000  13.14   0.0134    60.18  10.6882  -1.7787    1
              188834    0.0000    0.0000    NaN   0.0145    64.73      NaN      NaN    1
              188788    0.0000    0.0000  16.53   0.0296   130.66   9.6401  -0.2088    1
              180567  134.5240   12.9920  14.09   0.0302   133.60  10.9876  -1.4040    1
              193778  136.0580   13.4848  17.34   0.0302   133.31   9.0940   0.2610    1
              193791    0.0000    0.0000  16.52   0.0297   131.64   9.4360   0.2549    1
                4842    0.0000    0.0000  13.98   0.0297   131.58  11.0326  -1.2065    1
              193952    0.0000    0.0000    NaN   0.0123    55.34      NaN      NaN    1
              193781    0.0000    0.0000  17.43   0.0273   121.47   9.2110   0.3395    1
              193878    0.0000    0.0000  17.88   0.0454   198.77   9.2639   0.5749    1
              193953    0.0000    0.0000    NaN   0.0086    39.70      NaN      NaN    1
              182475  120.1713   15.8250  17.57   0.0539   234.11   9.9432   0.4739    1
              188807    0.0000    0.0000  18.45   0.0161    70.96   8.3675   0.7448    1
              188808    0.0000    0.0000  18.98   0.0158    69.62   8.2846   0.5799    1
              188809    0.0000    0.0000  23.83   0.0151    66.54   4.8783   4.3021    1
              188810    0.0000    0.0000  23.65   0.0149    65.89   5.3156   3.7284    1
              181471  120.8532   15.1410  16.94   0.0066    30.34   8.2356   0.0970    1
              180032  121.2489   14.8158  14.93   0.0287   126.12  10.4301  -0.3078    1
              181474  121.5533   15.5044  16.78   0.0066    30.41   8.1070   0.3111    1
              188751  123.1882   14.4803  18.22   0.0113    50.60   7.9057   0.8967    1
              188762    0.0000    0.0000  18.81   0.0085    38.71   7.3687   0.9928    1
              188768  127.1576   14.9734  19.28   0.0196    87.42   8.0723   0.7279    1
              188770    0.0000    0.0000  16.30   0.0452   197.30   9.9014   0.1690    1
